SEQ,TIMESTAMP,BP10,BSize10,BP9,BSize9,BP8,BSize8,BP7,BSize7,BP6,BSize6,BP5,BSize5,BP4,BSize4,BP3,BSize3,BP2,BSize2,BP1,BSize1,AP1,ASize1,AP2,ASize2,AP3,ASize3,AP4,ASize4,AP5,ASize5,AP6,ASize6,AP7,ASize7,AP8,ASize8,AP9,ASize9,AP10,ASize10
12586,2014-03-20 11:45:10.536,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.95,10400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12587,2014-03-20 11:45:10.552,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.9,42000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12588,2014-03-20 11:45:11.269,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.95,10000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12589,2014-03-20 11:45:11.531,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.95,9200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12590,2014-03-20 11:45:11.709,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.95,10800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12591,2014-03-20 11:45:13.018,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.95,800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12592,2014-03-20 11:45:13.032,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.9,41200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12593,2014-03-20 11:45:13.040,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.9,40800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12594,2014-03-20 11:45:13.041,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.2,134400,*,*,*,*,*,*,*,*
12595,2014-03-20 11:45:13.090,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.85,48000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12596,2014-03-20 11:45:13.090,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.85,41200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12597,2014-03-20 11:45:13.091,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76,115600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12598,2014-03-20 11:45:13.799,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.8,106000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12599,2014-03-20 11:45:14.024,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.9,24800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12600,2014-03-20 11:45:14.024,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.85,57200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12601,2014-03-20 11:45:14.560,*,*,75.5,437200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12602,2014-03-20 11:45:15.384,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.95,400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12603,2014-03-20 11:45:16.608,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76,130400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12604,2014-03-20 11:45:18.368,*,*,75.5,438400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12605,2014-03-20 11:45:19.950,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.9,12000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12606,2014-03-20 11:45:19.950,75.5,438400,75.55,39200,75.6,271600,75.65,76400,75.7,138800,75.75,47600,75.8,106000,75.85,57200,75.9,12000,75.95,12400,76,130400,76.05,203200,76.1,84400,76.15,34800,76.2,134400,76.25,95200,76.3,102000,76.35,70000,76.4,49600,76.45,40000
12607,2014-03-20 11:45:19.952,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76,152400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12608,2014-03-20 11:45:19.952,75.45,16800,75.5,438400,75.55,39200,75.6,271600,75.65,76400,75.7,138800,75.75,47600,75.8,106000,75.85,57200,75.9,12000,76,152400,76.05,203200,76.1,84400,76.15,34800,76.2,134400,76.25,95200,76.3,102000,76.35,70000,76.4,49600,76.45,40000
12609,2014-03-20 11:45:19.953,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.2,149200,*,*,*,*,*,*,*,*,*,*
12610,2014-03-20 11:45:19.953,*,*,*,*,*,*,*,*,*,*,*,*,75.75,50800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12611,2014-03-20 11:45:19.954,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.05,211200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12612,2014-03-20 11:45:19.965,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76,144000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12613,2014-03-20 11:45:19.969,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76,141600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12614,2014-03-20 11:45:19.974,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.1,84800,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12615,2014-03-20 11:45:19.980,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.25,105600,*,*,*,*,*,*,*,*
12616,2014-03-20 11:45:20.487,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.9,11600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12617,2014-03-20 11:45:20.841,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.85,57600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12618,2014-03-20 11:45:21.971,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.25,95200,*,*,*,*,*,*,*,*
12619,2014-03-20 11:45:21.988,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76,157200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12620,2014-03-20 11:45:22.113,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.05,220000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12621,2014-03-20 11:45:22.142,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76,159200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12622,2014-03-20 11:45:23.046,*,*,*,*,*,*,*,*,*,*,*,*,75.75,47600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12623,2014-03-20 11:45:23.065,75.45,16800,75.5,438400,75.55,39200,75.6,271600,75.65,76400,75.7,138800,75.75,47600,75.8,106000,75.85,57600,75.9,11600,75.95,1200,76,159200,76.05,220000,76.1,84800,76.15,34800,76.2,149200,76.25,95200,76.3,102000,76.35,70000,76.4,49600
12624,2014-03-20 11:45:23.067,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76,144400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12625,2014-03-20 11:45:23.067,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.95,16000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12626,2014-03-20 11:45:23.069,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.95,38000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12627,2014-03-20 11:45:23.078,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76,146800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12628,2014-03-20 11:45:23.078,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76,142800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12629,2014-03-20 11:45:23.085,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.2,136000,*,*,*,*,*,*,*,*
12630,2014-03-20 11:45:23.085,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.95,39600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12631,2014-03-20 11:45:23.085,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76,140800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12632,2014-03-20 11:45:23.085,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.1,84400,*,*,*,*,*,*,*,*,*,*,*,*
12633,2014-03-20 11:45:23.095,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.95,40000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12634,2014-03-20 11:45:23.109,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76,139600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12635,2014-03-20 11:45:23.109,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.05,211200,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12636,2014-03-20 11:45:23.109,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.85,64400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12637,2014-03-20 11:45:23.110,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.05,203200,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12638,2014-03-20 11:45:23.160,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.95,42000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12639,2014-03-20 11:45:23.160,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.95,44000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12640,2014-03-20 11:45:24.606,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76,159200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12641,2014-03-20 11:45:25.082,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.15,31600,*,*,*,*,*,*,*,*,*,*
12642,2014-03-20 11:45:25.082,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.95,46800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12643,2014-03-20 11:45:25.152,*,*,75.5,438000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12644,2014-03-20 11:45:26.163,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.8,106400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12645,2014-03-20 11:45:26.166,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.9,11200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12646,2014-03-20 11:45:28.941,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.95,51200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12647,2014-03-20 11:45:30.723,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.9,11600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12648,2014-03-20 11:45:31.086,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.8,107600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12649,2014-03-20 11:45:32.126,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76,180000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12650,2014-03-20 11:45:32.329,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.85,48400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12651,2014-03-20 11:45:32.329,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.8,123600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12652,2014-03-20 11:45:33.154,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.95,53200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12653,2014-03-20 11:45:33.155,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.95,57600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12654,2014-03-20 11:45:33.164,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.95,62000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12655,2014-03-20 11:45:33.166,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.95,66000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12656,2014-03-20 11:45:33.166,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.95,70000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12657,2014-03-20 11:45:37.163,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.95,72000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12658,2014-03-20 11:45:37.863,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.8,124000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12659,2014-03-20 11:45:39.174,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.95,74000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12660,2014-03-20 11:45:39.177,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.95,76400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12661,2014-03-20 11:45:39.177,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.95,78400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12662,2014-03-20 11:45:39.189,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.95,80400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12663,2014-03-20 11:45:39.190,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.95,77600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12664,2014-03-20 11:45:39.207,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.95,83600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12665,2014-03-20 11:45:40.878,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.95,82800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12666,2014-03-20 11:45:42.338,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76,160400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12667,2014-03-20 11:45:43.727,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76,161200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12668,2014-03-20 11:45:44.944,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.9,12400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12669,2014-03-20 11:45:46.949,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.95,82400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12670,2014-03-20 11:45:47.706,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.9,13200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12671,2014-03-20 11:45:48.209,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.95,86400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12672,2014-03-20 11:45:48.224,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.95,90800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12673,2014-03-20 11:45:49.222,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.95,94800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12674,2014-03-20 11:45:49.233,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.95,96800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12675,2014-03-20 11:45:51.236,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.05,204000,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12676,2014-03-20 11:45:51.880,*,*,*,*,*,*,*,*,*,*,*,*,75.75,49600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12677,2014-03-20 11:45:52.963,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.8,108000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12678,2014-03-20 11:45:52.963,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.85,64400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12679,2014-03-20 11:45:55.913,*,*,75.5,438400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12680,2014-03-20 11:45:56.927,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.9,13600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12681,2014-03-20 11:46:07.361,*,*,*,*,*,*,*,*,*,*,*,*,75.75,50400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12682,2014-03-20 11:46:09.254,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.05,216800,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12683,2014-03-20 11:46:10.323,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.95,98800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12684,2014-03-20 11:46:12.231,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.9,14400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12685,2014-03-20 11:46:12.366,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.95,98400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12686,2014-03-20 11:46:12.387,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.9,14000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12687,2014-03-20 11:46:12.852,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.9,10000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12688,2014-03-20 11:46:12.871,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.85,57600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12689,2014-03-20 11:46:12.872,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.9,9600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12690,2014-03-20 11:46:13.256,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76,174800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12691,2014-03-20 11:46:17.393,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.8,108400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12692,2014-03-20 11:46:20.455,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.95,97600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12693,2014-03-20 11:46:20.603,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.95,1.00E+05,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12694,2014-03-20 11:46:21.153,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.9,11600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12695,2014-03-20 11:46:21.628,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.95,102000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12696,2014-03-20 11:46:29.337,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.95,103200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12697,2014-03-20 11:46:29.578,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.8,108800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12698,2014-03-20 11:46:31.570,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.8,109600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12699,2014-03-20 11:46:34.556,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.9,8400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12700,2014-03-20 11:46:34.575,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.9,8000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12701,2014-03-20 11:46:37.805,*,*,*,*,*,*,75.6,272000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12702,2014-03-20 11:46:38.391,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76,158400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12703,2014-03-20 11:46:38.391,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76,182800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12704,2014-03-20 11:46:40.779,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.9,8400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12705,2014-03-20 11:46:41.180,*,*,*,*,*,*,*,*,*,*,75.7,138000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12706,2014-03-20 11:46:41.180,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.8,110400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12707,2014-03-20 11:46:44.902,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.9,8000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12708,2014-03-20 11:46:45.476,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.85,59600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12709,2014-03-20 11:46:45.647,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.85,60800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12710,2014-03-20 11:46:48.207,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.9,7600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12711,2014-03-20 11:46:48.537,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.9,8000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12712,2014-03-20 11:46:48.641,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.8,110000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12713,2014-03-20 11:46:48.641,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.9,8400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12714,2014-03-20 11:46:52.236,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.9,8800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12715,2014-03-20 11:46:53.623,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.95,105200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12716,2014-03-20 11:46:54.629,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.95,107200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12717,2014-03-20 11:46:54.636,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.95,109200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12718,2014-03-20 11:46:55.496,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.9,208800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12719,2014-03-20 11:46:55.530,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,75.85,67600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
12720,2014-03-20 11:46:55.745,*,*,*,*,*,*,75.6,277200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
