SEQ,TIMESTAMP,BP10,BSize10,BP9,BSize9,BP8,BSize8,BP7,BSize7,BP6,BSize6,BP5,BSize5,BP4,BSize4,BP3,BSize3,BP2,BSize2,BP1,BSize1,AP1,ASize1,AP2,ASize2,AP3,ASize3,AP4,ASize4,AP5,ASize5,AP6,ASize6,AP7,ASize7,AP8,ASize8,AP9,ASize9,AP10,ASize10
60,2014-03-20 09:30:02.338,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.25,156000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
61,2014-03-20 09:30:02.339,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.3,56000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
62,2014-03-20 09:30:02.341,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.35,73600,*,*,*,*,*,*,*,*,*,*,*,*,*,*
63,2014-03-20 09:30:02.341,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.4,89600,*,*,*,*,*,*,*,*,*,*,*,*
64,2014-03-20 09:30:02.383,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.25,155600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
65,2014-03-20 09:30:02.386,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.25,155200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
66,2014-03-20 09:30:02.459,75.7,23200,75.75,38800,75.8,50000,75.85,22400,75.9,48000,75.95,2400,76,209600,76.05,8800,76.1,18000,76.15,6400,76.2,8400,76.25,155200,76.3,56000,76.35,73600,76.4,89600,76.45,62000,76.5,129600,NA,NA,NA,NA,NA,NA
67,2014-03-20 09:30:02.547,*,*,*,*,*,*,*,*,*,*,*,*,76,210000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
68,2014-03-20 09:30:02.572,*,*,*,*,*,*,*,*,*,*,*,*,76,210800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
69,2014-03-20 09:30:02.580,*,*,*,*,75.8,51200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
70,2014-03-20 09:30:02.615,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.25,133200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
71,2014-03-20 09:30:02.617,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.2,30400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
72,2014-03-20 09:30:02.671,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.2,29200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
73,2014-03-20 09:30:02.690,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.2,28800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
74,2014-03-20 09:30:02.939,75.7,23200,75.75,38800,75.8,51200,75.85,22400,75.9,48000,75.95,2400,76,210800,76.05,8800,76.1,18000,76.15,6400,76.2,28800,76.25,133200,76.3,56000,76.35,73600,76.4,89600,76.45,62000,76.5,129600,76.6,2400,NA,NA,NA,NA
