Seq_No	Time	Transaction_Price	Volume	Bid_Price	Bid_Size	Ask_Price	Ask_Size
11183	2014-03-21 14:08:41.938	*	*	*	*	76.35	42400
11184	2014-03-21 14:08:41.947	*	*	*	*	76.35	42000
11185	2014-03-21 14:08:43.017	*	*	76.3	33600	*	*
11186	2014-03-21 14:08:49.073	76.35	800	*	*	*	*
11187	2014-03-21 14:08:49.073	*	*	*	*	76.35	41200
11188	2014-03-21 14:08:50.790	*	*	*	*	76.35	50000
11189	2014-03-21 14:08:51.597	*	*	76.3	19600	*	*
11190	2014-03-21 14:08:56.813	76.35	1200	*	*	*	*
11191	2014-03-21 14:08:56.813	*	*	*	*	76.35	48800
11192	2014-03-21 14:08:58.415	*	*	*	*	76.35	50800
11193	2014-03-21 14:08:59.163	*	*	76.3	20400	*	*
11194	2014-03-21 14:09:07.095	*	*	76.3	20000	*	*
11195	2014-03-21 14:09:07.110	76.35	400	*	*	*	*
11196	2014-03-21 14:09:07.110	*	*	*	*	76.35	50400
11197	2014-03-21 14:09:12.234	76.35	400	*	*	*	*
11198	2014-03-21 14:09:12.234	*	*	*	*	76.35	50000
11199	2014-03-21 14:09:12.742	*	*	76.3	20800	*	*
11200	2014-03-21 14:09:21.222	76.35	400	*	*	*	*
11201	2014-03-21 14:09:21.222	*	*	*	*	76.35	49600
11202	2014-03-21 14:09:21.372	*	*	76.3	21600	*	*
11203	2014-03-21 14:09:28.243	*	*	76.3	35600	*	*
11204	2014-03-21 14:09:29.256	*	*	*	*	76.35	53200
11205	2014-03-21 14:09:29.539	*	*	76.3	21600	*	*
11206	2014-03-21 14:09:31.041	*	*	*	*	76.35	44400
11207	2014-03-21 14:09:32.109	*	*	76.3	35600	*	*
11208	2014-03-21 14:09:37.981	76.35	400	*	*	*	*
11209	2014-03-21 14:09:37.981	*	*	*	*	76.35	44000
11210	2014-03-21 14:09:39.996	*	*	76.3	36000	*	*
11211	2014-03-21 14:09:53.542	*	*	*	*	76.35	44400
11212	2014-03-21 14:09:59.254	*	*	*	*	76.35	47200
11213	2014-03-21 14:10:01.314	*	*	76.3	36400	*	*
11214	2014-03-21 14:10:02.045	*	*	*	*	76.35	51600
11215	2014-03-21 14:10:03.060	*	*	*	*	76.35	53600
11216	2014-03-21 14:10:03.061	*	*	*	*	76.35	58000
11217	2014-03-21 14:10:03.064	*	*	*	*	76.35	60000
11218	2014-03-21 14:10:04.587	76.35	1200	*	*	*	*
11219	2014-03-21 14:10:04.587	*	*	*	*	76.35	58800
11220	2014-03-21 14:10:10.806	76.35	400	*	*	*	*
11221	2014-03-21 14:10:10.806	*	*	*	*	76.35	58400
11222	2014-03-21 14:10:13.197	*	*	76.3	36800	*	*
11223	2014-03-21 14:10:38.572	*	*	76.3	37600	*	*
11224	2014-03-21 14:10:43.918	76.35	400	*	*	*	*
11225	2014-03-21 14:10:43.918	*	*	*	*	76.35	58000
11226	2014-03-21 14:10:44.435	76.35	400	*	*	*	*
11227	2014-03-21 14:10:44.435	*	*	*	*	76.35	57600
11228	2014-03-21 14:10:46.362	*	*	76.3	51600	*	*
11229	2014-03-21 14:10:48.223	*	*	76.3	51200	*	*
11230	2014-03-21 14:10:48.238	76.35	400	*	*	*	*
11231	2014-03-21 14:10:48.238	*	*	*	*	76.35	57200
11232	2014-03-21 14:10:53.815	76.35	5200	*	*	*	*
11233	2014-03-21 14:10:53.815	*	*	*	*	76.35	52000
11234	2014-03-21 14:10:54.689	76.35	2000	*	*	*	*
11235	2014-03-21 14:10:54.689	*	*	*	*	76.35	50000
11236	2014-03-21 14:10:58.328	*	*	76.3	53600	*	*
